"provinsi","kota","kecamatan","kelurahan","id_tps","nomor_tps","diterima","rusak","tdk_digunakan","tdk_sah","no1","no2","no3","no4","no5","no6","no7","no8","no9","no10","no11","no12","no13","no14","no15","no16","no17","no18","no19","no20","saksi_pileg"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002007","007","277","1","41","20","6","9","108","13","5","2","4","25","5","8","7","15","0","7","","","","","1","0","dewi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002008","008","282","0","38","19","9","10","111","6","12","0","6","20","2","9","11","17","2","9","","","","","0","1","Putri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002009","009","195","0","32","11","3","9","71","10","7","0","2","8","2","5","2","30","0","2","","","","","0","1","Ristyani"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002010","010","170","0","34","6","5","11","53","1","1","0","4","32","1","2","7","11","0","2","","","","","0","0","NUGROHO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002011","011","176","0","23","18","11","8","43","4","8","1","1","38","1","4","9","8","1","2","","","","","0","0","FADHOLI ALDI BUDIANTO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002012","012","179","0","16","21","2","13","82","5","3","1","3","18","0","2","3","6","0","4","","","","","0","0","SUSANTO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002013","013","202","0","36","22","5","6","98","6","3","0","3","4","3","3","8","4","0","1","","","","","0","0","PURWANTO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002014","014","245","0","32","10","4","16","140","6","3","0","0","16","2","2","4","4","0","6","","","","","0","0","YANTO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002015","015","156","1","43","8","1","5","61","3","10","0","1","6","0","0","0","0","0","0","","","","","0","0","EDI KUSWANTO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002016","016","191","0","28","13","10","6","107","1","5","0","1","3","1","0","15","1","0","0","","","","","0","0","PURDIANTO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002017","017","245","0","35","17","11","6","122","6","2","0","3","10","2","2","8","20","0","1","","","","","0","0","Sumiyatun"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002018","018","197","8","39","8","3","17","90","6","1","0","0","3","2","0","18","8","0","1","","","","","0","0","Jatmiko"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002019","019","190","0","34","12","4","2","104","5","5","1","0","11","2","0","2","8","0","0","","","","","0","0","TAMA"
